FID,Shape,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME
47,面,崇左市,451400,崇左市,451400,地级市,广西壮族自治区,450000,自治区,南宁地区,2002年撤销南宁地区，设立崇左市,Chongzuo
48,面,滁州市,341100,滁州市,341100,地级市,安徽省,340000,省, , ,Chuzhou
49,面,楚雄彝族自治州,532300,楚雄彝族自治州,532300,自治州,云南省,530000,省, , ,Chuxiongyizu
50,面,达州市,511700,达州市,511700,地级市,四川省,510000,省, , ,Dazhou
51,面,大理白族自治州,532900,大理白族自治州,532900,自治州,云南省,530000,省, , ,Dalibaizu
52,面,大连市,210200,大连市,210200,地级市,辽宁省,210000,省, , ,Dalian
53,面,大庆市,230600,大庆市,230600,地级市,黑龙江省,230000,省, , ,Daqing
54,面,大同市,140200,大同市,140200,地级市,山西省,140000,省, , ,Datong
55,面,大兴安岭地区,232700,大兴安岭地区,232700,地区,黑龙江省,230000,省, , ,Daxinganling
56,面,儋州市,460400,儋州市,460400,地级市,海南省,460000,省, ,2015年撤销县级儋州市，设立地级儋州,Danzhou
57,面,德宏傣族景颇族自治州,533100,德宏傣族景颇族自治州,533100,自治州,云南省,530000,省, , ,Dehongdaizujingpozu
58,面,德阳市,510600,德阳市,510600,地级市,四川省,510000,省, , ,Deyang
59,面,德州市,371400,德州市,371400,地级市,山东省,370000,省, , ,Dezhou
60,面,迪庆藏族自治州,533400,迪庆藏族自治州,533400,自治州,云南省,530000,省, , ,Diqingzangzu
61,面,定安县,469021,不统计,0,不统计,海南省,460000,省, , ,Dingan
62,面,定西市,621100,定西市,621100,地级市,甘肃省,620000,省,定西地区,2003年定西地区更名为定西市,Dingxi
63,面,东方市,469007,不统计,0,不统计,海南省,460000,省, , ,Dongfang
64,面,东莞市,441900,东莞市,441900,地级市,广东省,440000,省, , ,Dongguan
65,面,东营市,370500,东营市,370500,地级市,山东省,370000,省, , ,Dongying
66,面,鄂尔多斯市,150600,鄂尔多斯市,150600,地级市,内蒙古自治区,150000,自治区, , ,Eerduosi
67,面,鄂州市,420700,鄂州市,420700,地级市,湖北省,420000,省, , ,Ezhou
68,面,恩施土家族苗族自治州,422800,恩施土家族苗族自治州,422800,自治州,湖北省,420000,省, , ,Enshitujiazumiaozu
69,面,防城港市,450600,防城港市,450600,地级市,广西壮族自治区,450000,自治区, , ,Fangchenggang
70,面,佛山市,440600,佛山市,440600,地级市,广东省,440000,省, , ,Foshan
71,面,福州市,350100,福州市,350100,地级市,福建省,350000,省, , ,Fuzhou
72,面,抚顺市,210400,抚顺市,210400,地级市,辽宁省,210000,省, , ,Fushun
73,面,抚州市,361000,抚州市,361000,地级市,江西省,360000,省,抚州地区,2000年撤销抚州地区，设立抚州市,Fuzhou
74,面,阜新市,210900,阜新市,210900,地级市,辽宁省,210000,省, , ,Fuxin
75,面,阜阳市,341200,阜阳市,341200,地级市,安徽省,340000,省, , ,Fuyang
76,面,甘南藏族自治州,623000,甘南藏族自治州,623000,自治州,甘肃省,620000,省, , ,Gannanzangzu
77,面,甘孜藏族自治州,513300,甘孜藏族自治州,513300,自治州,四川省,510000,省, , ,Ganzizangzu
78,面,赣州市,360700,赣州市,360700,地级市,江西省,360000,省, , ,Ganzhou
79,面,固原市,640400,固原市,640400,地级市,宁夏回族自治区,640000,自治区,固原地区,2001年固原地区更名为固原市,Guyuan
80,面,广安市,511600,广安市,511600,地级市,四川省,510000,省, , ,Guangan
81,面,广元市,510800,广元市,510800,地级市,四川省,510000,省, , ,Guangyuan
82,面,广州市,440100,广州市,440100,地级市,广东省,440000,省, , ,Guangzhou
83,面,贵港市,450800,贵港市,450800,地级市,广西壮族自治区,450000,自治区, , ,Guigang
84,面,贵阳市,520100,贵阳市,520100,地级市,贵州省,520000,省, , ,Guiyang
85,面,桂林市,450300,桂林市,450300,地级市,广西壮族自治区,450000,自治区, , ,Guilin
86,面,果洛藏族自治州,632600,果洛藏族自治州,632600,自治州,青海省,630000,省, , ,Guoluozangzu
87,面,哈尔滨市,230100,哈尔滨市,230100,地级市,黑龙江省,230000,省, , ,Haerbin
88,面,哈密市,650500,哈密市,650500,地级市,新疆维吾尔自治区,650000,自治区,哈密地区,2016年撤销哈密地区，设立哈密市,Hami
89,面,海北藏族自治州,632200,海北藏族自治州,632200,自治州,青海省,630000,省, , ,Haibeizangzu
90,面,海东市,630200,海东市,630200,地级市,青海省,630000,省,海东地区,2012年撤销海东地区，设立海东市,Haidong
91,面,海口市,460100,海口市,460100,地级市,海南省,460000,省, , ,Haikou
92,面,海南藏族自治州,632500,海南藏族自治州,632500,自治州,青海省,630000,省, , ,Hainanzangzu
93,面,海西蒙古族藏族自治州,632800,海西蒙古族藏族自治州,632800,自治州,青海省,630000,省, , ,Haiximengguzuzangzu
94,面,邯郸市,130400,邯郸市,130400,地级市,河北省,130000,省, , ,Handan
95,面,汉中市,610700,汉中市,610700,地级市,陕西省,610000,省, , ,Hanzhong
96,面,杭州市,330100,杭州市,330100,地级市,浙江省,330000,省, , ,Hangzhou
97,面,合肥市,340100,合肥市,340100,地级市,安徽省,340000,省, , ,Hefei
98,面,和田地区,653200,和田地区,653200,地区,新疆维吾尔自治区,650000,自治区, , ,Hetian
99,面,河池市,451200,河池市,451200,地级市,广西壮族自治区,450000,自治区,河池地区,2002年撤销河池地区，设立河池市,Hechi
100,面,河源市,441600,河源市,441600,地级市,广东省,440000,省, , ,Heyuan
101,面,菏泽市,371700,菏泽市,371700,地级市,山东省,370000,省,菏泽地区,2000年撤销菏泽地区 ，设立菏泽市,Heze
102,面,贺州市,451100,贺州市,451100,地级市,广西壮族自治区,450000,自治区,贺州地区,2002年撤销贺州地区，设立贺州市,Hezhou
103,面,鹤壁市,410600,鹤壁市,410600,地级市,河南省,410000,省, , ,Hebi
104,面,鹤岗市,230400,鹤岗市,230400,地级市,黑龙江省,230000,省, , ,Hegang
105,面,黑河市,231100,黑河市,231100,地级市,黑龙江省,230000,省, , ,Heihe
106,面,衡水市,131100,衡水市,131100,地级市,河北省,130000,省, , ,Hengshui
107,面,衡阳市,430400,衡阳市,430400,地级市,湖南省,430000,省, , ,Hengyang
108,面,红河哈尼族彝族自治州,532500,红河哈尼族彝族自治州,532500,自治州,云南省,530000,省, , ,Honghehanizuyizu
109,面,呼和浩特市,150100,呼和浩特市,150100,地级市,内蒙古自治区,150000,自治区, , ,Huhehaote
110,面,呼伦贝尔市,150700,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区, , ,Hulunbeier
111,面,胡杨河市,659010,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,2019年新设县级胡杨河市,Huyanghe
112,面,葫芦岛市,211400,葫芦岛市,211400,地级市,辽宁省,210000,省, , ,Huludao
113,面,湖州市,330500,湖州市,330500,地级市,浙江省,330000,省, , ,Huzhou
114,面,怀化市,431200,怀化市,431200,地级市,湖南省,430000,省, , ,Huaihua
115,面,淮安市,320800,淮安市,320800,地级市,江苏省,320000,省, , ,Huaian
116,面,淮北市,340600,淮北市,340600,地级市,安徽省,340000,省, , ,Huaibei
117,面,淮南市,340400,淮南市,340400,地级市,安徽省,340000,省, , ,Huainan
118,面,黄冈市,421100,黄冈市,421100,地级市,湖北省,420000,省, , ,Huanggang
119,面,黄南藏族自治州,632300,黄南藏族自治州,632300,自治州,青海省,630000,省, , ,Huangnanzangzu
120,面,黄山市,341000,黄山市,341000,地级市,安徽省,340000,省, , ,Huangshan
121,面,黄石市,420200,黄石市,420200,地级市,湖北省,420000,省, , ,Huangshi
122,面,惠州市,441300,惠州市,441300,地级市,广东省,440000,省, , ,Huizhou
123,面,鸡西市,230300,鸡西市,230300,地级市,黑龙江省,230000,省, , ,Jixi
124,面,吉安市,360800,吉安市,360800,地级市,江西省,360000,省,吉安地区,2000年撤销吉安地区，设立吉安市,Jian
125,面,吉林市,220200,吉林市,220200,地级市,吉林省,220000,省, , ,Jilin
126,面,济南市,370100,济南市,370100,地级市,山东省,370000,省, , ,Jinan
127,面,济源市,419001,不统计,0,不统计,河南省,410000,省, , ,Jiyuan
128,面,佳木斯市,230800,佳木斯市,230800,地级市,黑龙江省,230000,省, , ,Jiamusi
129,面,嘉兴市,330400,嘉兴市,330400,地级市,浙江省,330000,省, , ,Jiaxing
130,面,嘉峪关市,620200,嘉峪关市,620200,地级市,甘肃省,620000,省, , ,Jiayuguan
131,面,江门市,440700,江门市,440700,地级市,广东省,440000,省, , ,Jiangmen
132,面,焦作市,410800,焦作市,410800,地级市,河南省,410000,省, , ,Jiaozuo
133,面,揭阳市,445200,揭阳市,445200,地级市,广东省,440000,省, , ,Jieyang
134,面,金昌市,620300,金昌市,620300,地级市,甘肃省,620000,省, , ,Jinchang
135,面,金华市,330700,金华市,330700,地级市,浙江省,330000,省, , ,Jinhua
136,面,锦州市,210700,锦州市,210700,地级市,辽宁省,210000,省, , ,Jinzhou
137,面,晋城市,140500,晋城市,140500,地级市,山西省,140000,省, , ,Jincheng
138,面,晋中市,140700,晋中市,140700,地级市,山西省,140000,省, , ,Jinzhong
139,面,荆门市,420800,荆门市,420800,地级市,湖北省,420000,省, , ,Jingmen
140,面,荆州市,421000,荆州市,421000,地级市,湖北省,420000,省, , ,Jingzhou
141,面,景德镇市,360200,景德镇市,360200,地级市,江西省,360000,省, , ,Jingdezhen
142,面,九江市,360400,九江市,360400,地级市,江西省,360000,省, , ,Jiujiang
143,面,酒泉市,620900,酒泉市,620900,地级市,甘肃省,620000,省,酒泉地区,2002年撤销酒泉地区，设立酒泉市,Jiuquan
144,面,喀什地区,653100,喀什地区,653100,地区,新疆维吾尔自治区,650000,自治区, , ,Kashi
145,面,开封市,410200,开封市,410200,地级市,河南省,410000,省, , ,Kaifeng
146,面,可克达拉市,659008,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,2015年新设县级可克达拉市，省直管,Kekedala
147,面,克拉玛依市,650200,克拉玛依市,650200,地级市,新疆维吾尔自治区,650000,自治区, , ,Kelamayi
148,面,克孜勒苏柯尔克孜自治州,653000,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Kezilesukeerkezi
149,面,昆明市,530100,昆明市,530100,地级市,云南省,530000,省, , ,Kunming
150,面,昆玉市,659009,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,2016年新设县级昆玉市,Kunyu
151,面,拉萨市,540100,拉萨市,540100,地级市,西藏自治区,540000,自治区, , ,Lasa
152,面,来宾市,451300,来宾市,451300,地级市,广西壮族自治区,450000,自治区,柳州地区,2002年撤销柳州地区，设立来宾市,Laibin
153,面,兰州市,620100,兰州市,620100,地级市,甘肃省,620000,省, , ,Lanzhou
154,面,廊坊市,131000,廊坊市,131000,地级市,河北省,130000,省, , ,Langfang
155,面,乐东黎族自治县,469027,不统计,0,不统计,海南省,460000,省, , ,Ledonglizu
156,面,乐山市,511100,乐山市,511100,地级市,四川省,510000,省, , ,Leshan
157,面,丽江市,530700,丽江市,530700,地级市,云南省,530000,省,丽江地区,2002年丽江地区更名为丽江市,Lijiang
158,面,丽水市,331100,丽水市,331100,地级市,浙江省,330000,省,丽水地区,2000年撤销丽水地区，设立丽水市,Lishui
159,面,连云港市,320700,连云港市,320700,地级市,江苏省,320000,省, , ,Lianyungang
160,面,凉山彝族自治州,513400,凉山彝族自治州,513400,自治州,四川省,510000,省, , ,Liangshanyizu
161,面,辽阳市,211000,辽阳市,211000,地级市,辽宁省,210000,省, , ,Liaoyang
162,面,辽源市,220400,辽源市,220400,地级市,吉林省,220000,省, , ,Liaoyuan
163,面,聊城市,371500,聊城市,371500,地级市,山东省,370000,省, , ,Liaocheng
164,面,林芝市,540400,林芝市,540400,地级市,西藏自治区,540000,自治区,林芝地区,2015年撤销林芝地区，设立林芝市,Linzhi
165,面,临沧市,530900,临沧市,530900,地级市,云南省,530000,省, , ,Lincang
166,面,临汾市,141000,临汾市,141000,地级市,山西省,140000,省,临汾地区,2000年撤销临汾地区 ，设立临汾市,Linfen
167,面,临高县,469024,不统计,0,不统计,海南省,460000,省, , ,Lingao
168,面,临夏回族自治州,622900,临夏回族自治州,622900,自治州,甘肃省,620000,省, , ,Linxiahuizu
169,面,临沂市,371300,临沂市,371300,地级市,山东省,370000,省, , ,Linyi
170,面,陵水黎族自治县,469028,不统计,0,不统计,海南省,460000,省, , ,Lingshuilizu
171,面,柳州市,450200,柳州市,450200,地级市,广西壮族自治区,450000,自治区, , ,Liuzhou
172,面,六安市,341500,六安市,341500,地级市,安徽省,340000,省, , ,Liuan
173,面,六盘水市,520200,六盘水市,520200,地级市,贵州省,520000,省, , ,Liupanshui
174,面,龙岩市,350800,龙岩市,350800,地级市,福建省,350000,省, , ,Longyan
175,面,陇南市,621200,陇南市,621200,地级市,甘肃省,620000,省,陇南地区,2004年陇南地区更名为陇南市,Longnan
176,面,娄底市,431300,娄底市,431300,地级市,湖南省,430000,省, , ,Loudi
177,面,泸州市,510500,泸州市,510500,地级市,四川省,510000,省, , ,Luzhou
178,面,洛阳市,410300,洛阳市,410300,地级市,河南省,410000,省, , ,Luoyang
179,面,漯河市,411100,漯河市,411100,地级市,河南省,410000,省, , ,Luohe
180,面,吕梁市,141100,吕梁市,141100,地级市,山西省,140000,省,吕梁地区,2003年吕梁地区更名为吕梁市,Lüliang
181,面,马鞍山市,340500,马鞍山市,340500,地级市,安徽省,340000,省, , ,Maanshan
182,面,茂名市,440900,茂名市,440900,地级市,广东省,440000,省, , ,Maoming
183,面,眉山市,511400,眉山市,511400,地级市,四川省,510000,省, , ,Meishan
184,面,梅州市,441400,梅州市,441400,地级市,广东省,440000,省, , ,Meizhou
185,面,绵阳市,510700,绵阳市,510700,地级市,四川省,510000,省, , ,Mianyang
186,面,牡丹江市,231000,牡丹江市,231000,地级市,黑龙江省,230000,省, , ,Mudanjiang
187,面,那曲市,540600,那曲市,540600,地级市,西藏自治区,540000,自治区,那曲地区,2017年撤销那曲地区，设立那曲市,Naqu
188,面,南昌市,360100,南昌市,360100,地级市,江西省,360000,省, , ,Nanchang
189,面,南充市,511300,南充市,511300,地级市,四川省,510000,省, , ,Nanchong
190,面,南京市,320100,南京市,320100,地级市,江苏省,320000,省, , ,Nanjing
191,面,南宁市,450100,南宁市,450100,地级市,广西壮族自治区,450000,自治区, , ,Nanning
192,面,南平市,350700,南平市,350700,地级市,福建省,350000,省, , ,Nanping
193,面,南通市,320600,南通市,320600,地级市,江苏省,320000,省, , ,Nantong
194,面,南阳市,411300,南阳市,411300,地级市,河南省,410000,省, , ,Nanyang
195,面,内江市,511000,内江市,511000,地级市,四川省,510000,省, , ,Neijiang
196,面,宁波市,330200,宁波市,330200,地级市,浙江省,330000,省, , ,Ningbo
197,面,宁德市,350900,宁德市,350900,地级市,福建省,350000,省, , ,Ningde
198,面,怒江傈僳族自治州,533300,怒江傈僳族自治州,533300,自治州,云南省,530000,省, , ,Nujianglisuzu
199,面,攀枝花市,510400,攀枝花市,510400,地级市,四川省,510000,省, , ,Panzhihua
200,面,盘锦市,211100,盘锦市,211100,地级市,辽宁省,210000,省, , ,Panjin
201,面,平顶山市,410400,平顶山市,410400,地级市,河南省,410000,省, , ,Pingdingshan
202,面,平凉市,620800,平凉市,620800,地级市,甘肃省,620000,省,平凉地区,2002年撤销平凉地区，设立平凉市,Pingliang
203,面,萍乡市,360300,萍乡市,360300,地级市,江西省,360000,省, , ,Pingxiang
204,面,莆田市,350300,莆田市,350300,地级市,福建省,350000,省, , ,Putian
205,面,濮阳市,410900,濮阳市,410900,地级市,河南省,410000,省, , ,Puyang
206,面,普洱市,530800,普洱市,530800,地级市,云南省,530000,省,思茅地区,2007年思茅市更名为普洱市,Puer
207,面,七台河市,230900,七台河市,230900,地级市,黑龙江省,230000,省, , ,Qitaihe
208,面,齐齐哈尔市,230200,齐齐哈尔市,230200,地级市,黑龙江省,230000,省, , ,Qiqihaer
209,面,潜江市,429005,不统计,0,不统计,湖北省,420000,省, , ,Qianjiang
210,面,黔东南苗族侗族自治州,522600,黔东南苗族侗族自治州,522600,自治州,贵州省,520000,省, , ,Qiandongnanmiaozudongzu
211,面,黔南布依族苗族自治州,522700,黔南布依族苗族自治州,522700,自治州,贵州省,520000,省, , ,Qiannanbuyizumiaozu
212,面,黔西南布依族苗族自治州,522300,黔西南布依族苗族自治州,522300,自治州,贵州省,520000,省, , ,Qianxinanbuyizumiaozu
213,面,钦州市,450700,钦州市,450700,地级市,广西壮族自治区,450000,自治区, , ,Qinzhou
214,面,秦皇岛市,130300,秦皇岛市,130300,地级市,河北省,130000,省, , ,Qinhuangdao
215,面,青岛市,370200,青岛市,370200,地级市,山东省,370000,省, , ,Qingdao
216,面,清远市,441800,清远市,441800,地级市,广东省,440000,省, , ,Qingyuan
217,面,庆阳市,621000,庆阳市,621000,地级市,甘肃省,620000,省,酒泉地区,2002年庆阳地区更名为庆阳市,Qingyang
218,面,琼海市,469002,不统计,0,不统计,海南省,460000,省, , ,Qionghai
219,面,琼中黎族苗族自治县,469030,不统计,0,不统计,海南省,460000,省, , ,Qiongzhonglizuandmiaozu
220,面,曲靖市,530300,曲靖市,530300,地级市,云南省,530000,省, , ,Qujing
221,面,衢州市,330800,衢州市,330800,地级市,浙江省,330000,省, , ,Quzhou
222,面,泉州市,350500,泉州市,350500,地级市,福建省,350000,省, , ,Quanzhou
223,面,日喀则市,540200,日喀则市,540200,地级市,西藏自治区,540000,自治区,日喀则地区,2013年撤销日喀则地区，设立日喀则市,Rikaze
224,面,日照市,371100,日照市,371100,地级市,山东省,370000,省, , ,Rizhao
225,面,三门峡市,411200,三门峡市,411200,地级市,河南省,410000,省, , ,Sanmenxia
226,面,三明市,350400,三明市,350400,地级市,福建省,350000,省, , ,Sanming
227,面,三亚市,460200,三亚市,460200,地级市,海南省,460000,省, , ,Sanya
228,面,厦门市,350200,厦门市,350200,地级市,福建省,350000,省, , ,Xiamen
229,面,山南市,540500,山南市,540500,地级市,西藏自治区,540000,自治区,山南地区,2016年撤销山南地区，设立山南市,Shannan
230,面,汕头市,440500,汕头市,440500,地级市,广东省,440000,省, , ,Shantou
231,面,汕尾市,441500,汕尾市,441500,地级市,广东省,440000,省, , ,Shanwei
232,面,商洛市,611000,商洛市,611000,地级市,陕西省,610000,省,商洛地区,2001年商洛地区更名为商洛市,Shangluo
233,面,商丘市,411400,商丘市,411400,地级市,河南省,410000,省, , ,Shangqiu
234,面,上海市,310000,不统计,0,不统计,上海市,310000,直辖市, , ,Shanghai
235,面,上饶市,361100,上饶市,361100,地级市,江西省,360000,省,上饶地区,2000年撤销上饶地区，设立上饶市,Shangrao
236,面,韶关市,440200,韶关市,440200,地级市,广东省,440000,省, , ,Shaoguan
237,面,邵阳市,430500,邵阳市,430500,地级市,湖南省,430000,省, , ,Shaoyang
238,面,绍兴市,330600,绍兴市,330600,地级市,浙江省,330000,省, , ,Shaoxing
239,面,深圳市,440300,深圳市,440300,地级市,广东省,440000,省, , ,Shenzhen
240,面,神农架林区,429021,不统计,0,不统计,湖北省,420000,省, , ,Shennongjialin
241,面,沈阳市,210100,沈阳市,210100,地级市,辽宁省,210000,省, , ,Shenyang
242,面,十堰市,420300,十堰市,420300,地级市,湖北省,420000,省, , ,Shiyan
243,面,石河子市,659001,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Shihezi
244,面,石家庄市,130100,石家庄市,130100,地级市,河北省,130000,省, , ,Shijiazhuang
245,面,石嘴山市,640200,石嘴山市,640200,地级市,宁夏回族自治区,640000,自治区, , ,Shizuishan
246,面,双河市,659007,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Shuanghe
247,面,双鸭山市,230500,双鸭山市,230500,地级市,黑龙江省,230000,省, , ,Shuangyashan
248,面,朔州市,140600,朔州市,140600,地级市,山西省,140000,省, , ,Shuozhou
249,面,四平市,220300,四平市,220300,地级市,吉林省,220000,省, , ,Siping
250,面,松原市,220700,松原市,220700,地级市,吉林省,220000,省, , ,Songyuan
251,面,苏州市,320500,苏州市,320500,地级市,江苏省,320000,省, , ,Suzhou
252,面,宿迁市,321300,宿迁市,321300,地级市,江苏省,320000,省, , ,Suqian
253,面,宿州市,341300,宿州市,341300,地级市,安徽省,340000,省, , ,Suzhou
254,面,绥化市,231200,绥化市,231200,地级市,黑龙江省,230000,省, , ,Suihua
255,面,随州市,421300,随州市,421300,地级市,湖北省,420000,省, , ,Suizhou
256,面,遂宁市,510900,遂宁市,510900,地级市,四川省,510000,省, , ,Suining
257,面,台州市,331000,台州市,331000,地级市,浙江省,330000,省, , ,Taizhou
258,面,太原市,140100,太原市,140100,地级市,山西省,140000,省, , ,Taiyuan
259,面,泰安市,370900,泰安市,370900,地级市,山东省,370000,省, , ,Taian
260,面,泰州市,321200,泰州市,321200,地级市,江苏省,320000,省, , ,Taizhou
261,面,唐山市,130200,唐山市,130200,地级市,河北省,130000,省, , ,Tangshan
262,面,天津市,120000,不统计,0,不统计,天津市,120000,直辖市, , ,Tianjin
263,面,天门市,429006,不统计,0,不统计,湖北省,420000,省, , ,Tianmen
264,面,天水市,620500,天水市,620500,地级市,甘肃省,620000,省, , ,Tianshui
265,面,铁岭市,211200,铁岭市,211200,地级市,辽宁省,210000,省, , ,Tieling
266,面,通化市,220500,通化市,220500,地级市,吉林省,220000,省, , ,Tonghua
267,面,通辽市,150500,通辽市,150500,地级市,内蒙古自治区,150000,自治区, , ,Tongliao
268,面,铜川市,610200,铜川市,610200,地级市,陕西省,610000,省, , ,Tongchuan
269,面,铜陵市,340700,铜陵市,340700,地级市,安徽省,340000,省, , ,Tongling
270,面,铜仁市,520600,铜仁市,520600,地级市,贵州省,520000,省,铜仁地区,2012年撤销铜仁地区，设立铜仁市,Tongren
271,面,图木舒克市,659003,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Tumushuke
272,面,吐鲁番市,650400,吐鲁番市,650400,地级市,新疆维吾尔自治区,650000,自治区,吐鲁番地区,2015年撤销吐鲁番地区，设立吐鲁番市,Tulufan
273,面,屯昌县,469022,不统计,0,不统计,海南省,460000,省, , ,Tunchang
274,面,万宁市,469006,不统计,0,不统计,海南省,460000,省, , ,Wanning
275,面,威海市,371000,威海市,371000,地级市,山东省,370000,省, , ,Weihai
276,面,潍坊市,370700,潍坊市,370700,地级市,山东省,370000,省, , ,Weifang
277,面,渭南市,610500,渭南市,610500,地级市,陕西省,610000,省, , ,Weinan
278,面,温州市,330300,温州市,330300,地级市,浙江省,330000,省, , ,Wenzhou
279,面,文昌市,469005,不统计,0,不统计,海南省,460000,省, , ,Wenchang
280,面,文山壮族苗族自治州,532600,文山壮族苗族自治州,532600,自治州,云南省,530000,省, , ,Wenshanzhuangzumiaozu
281,面,乌海市,150300,乌海市,150300,地级市,内蒙古自治区,150000,自治区, , ,Wuhai
